,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,,0.414,https://api.spotify.com/v1/audio-analysis/6f3Slt0GbA2bPZlz0aIFXN,0.798,164000.0,0.62,6f3Slt0GbA2bPZlz0aIFXN,0.0192,8.0,0.112,-7.079,0.0,0.232,120.031,4.0,https://api.spotify.com/v1/tracks/6f3Slt0GbA2bPZlz0aIFXN,audio_features,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,0.235
1,,0.0784,https://api.spotify.com/v1/audio-analysis/0HR9gzUvpJ6Wv0lSOD2gGB,0.465,162934.0,0.756,0HR9gzUvpJ6Wv0lSOD2gGB,2.32e-06,10.0,0.0669,-6.992,0.0,0.0797,120.247,4.0,https://api.spotify.com/v1/tracks/0HR9gzUvpJ6Wv0lSOD2gGB,audio_features,spotify:track:0HR9gzUvpJ6Wv0lSOD2gGB,0.291
2,,0.0274,https://api.spotify.com/v1/audio-analysis/3lAoqK9lSnZ7JePkZ24TMp,0.702,175781.0,0.797,3lAoqK9lSnZ7JePkZ24TMp,1.18e-06,6.0,0.312,-6.649,0.0,0.0439,128.009,4.0,https://api.spotify.com/v1/tracks/3lAoqK9lSnZ7JePkZ24TMp,audio_features,spotify:track:3lAoqK9lSnZ7JePkZ24TMp,0.475
3,,0.194,https://api.spotify.com/v1/audio-analysis/5YaskwnGDZFDRipaqzbwQx,0.669,150053.0,0.784,5YaskwnGDZFDRipaqzbwQx,6.28e-06,7.0,0.115,-5.603,1.0,0.112,125.993,4.0,https://api.spotify.com/v1/tracks/5YaskwnGDZFDRipaqzbwQx,audio_features,spotify:track:5YaskwnGDZFDRipaqzbwQx,0.517
4,,0.109,https://api.spotify.com/v1/audio-analysis/3DWOrtHvdwpv0nmzEoJikH,0.736,129445.0,0.531,3DWOrtHvdwpv0nmzEoJikH,0.000926,6.0,0.107,-6.542,1.0,0.0826,122.957,4.0,https://api.spotify.com/v1/tracks/3DWOrtHvdwpv0nmzEoJikH,audio_features,spotify:track:3DWOrtHvdwpv0nmzEoJikH,0.753
5,,0.0689,https://api.spotify.com/v1/audio-analysis/6ft4hAq6yde8jPZY2i5zLr,0.632,167903.0,0.595,6ft4hAq6yde8jPZY2i5zLr,0.0,8.0,0.209,-7.644,0.0,0.0401,124.114,4.0,https://api.spotify.com/v1/tracks/6ft4hAq6yde8jPZY2i5zLr,audio_features,spotify:track:6ft4hAq6yde8jPZY2i5zLr,0.435
6,,0.135,https://api.spotify.com/v1/audio-analysis/4HHFAQ2jIuDxViIhKG0VTj,0.685,159526.0,0.771,4HHFAQ2jIuDxViIhKG0VTj,0.118,6.0,0.112,-8.204,0.0,0.0606,124.019,4.0,https://api.spotify.com/v1/tracks/4HHFAQ2jIuDxViIhKG0VTj,audio_features,spotify:track:4HHFAQ2jIuDxViIhKG0VTj,0.486
7,,0.0134,https://api.spotify.com/v1/audio-analysis/7jXQUrVhEpXdymfFWNDnQW,0.663,178088.0,0.783,7jXQUrVhEpXdymfFWNDnQW,0.00179,6.0,0.325,-4.585,1.0,0.0393,123.986,4.0,https://api.spotify.com/v1/tracks/7jXQUrVhEpXdymfFWNDnQW,audio_features,spotify:track:7jXQUrVhEpXdymfFWNDnQW,0.622
8,,0.0076,https://api.spotify.com/v1/audio-analysis/4cG7HUWYHBV6R6tHn1gxrl,0.824,169153.0,0.862,4cG7HUWYHBV6R6tHn1gxrl,0.000132,2.0,0.303,-3.424,1.0,0.126,122.98,4.0,https://api.spotify.com/v1/tracks/4cG7HUWYHBV6R6tHn1gxrl,audio_features,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,0.801
9,,0.145,https://api.spotify.com/v1/audio-analysis/0YnHCIk1Ppy7FIzdvjspts,0.75,151049.0,0.805,0YnHCIk1Ppy7FIzdvjspts,0.0,8.0,0.297,-6.438,0.0,0.324,120.008,4.0,https://api.spotify.com/v1/tracks/0YnHCIk1Ppy7FIzdvjspts,audio_features,spotify:track:0YnHCIk1Ppy7FIzdvjspts,0.882
10,,0.0412,https://api.spotify.com/v1/audio-analysis/0uABO1PKbTJvcNQD7usbSw,0.703,173313.0,0.842,0uABO1PKbTJvcNQD7usbSw,0.0,4.0,0.124,-5.901,0.0,0.275,122.023,4.0,https://api.spotify.com/v1/tracks/0uABO1PKbTJvcNQD7usbSw,audio_features,spotify:track:0uABO1PKbTJvcNQD7usbSw,0.463
11,,0.013,https://api.spotify.com/v1/audio-analysis/236irGwQHCBQnRJs2zgoib,0.586,180620.0,0.715,236irGwQHCBQnRJs2zgoib,1.15e-06,11.0,0.54,-5.962,0.0,0.159,120.971,4.0,https://api.spotify.com/v1/tracks/236irGwQHCBQnRJs2zgoib,audio_features,spotify:track:236irGwQHCBQnRJs2zgoib,0.59
12,,0.0558,https://api.spotify.com/v1/audio-analysis/4Ka0qWis2V9gI5MFdzT1lB,0.676,153031.0,0.726,4Ka0qWis2V9gI5MFdzT1lB,4.37e-05,9.0,0.101,-7.949,0.0,0.0448,124.013,4.0,https://api.spotify.com/v1/tracks/4Ka0qWis2V9gI5MFdzT1lB,audio_features,spotify:track:4Ka0qWis2V9gI5MFdzT1lB,0.541
13,,0.248,https://api.spotify.com/v1/audio-analysis/3eKdMlPONnxz5quSb2VpKU,0.686,186690.0,0.673,3eKdMlPONnxz5quSb2VpKU,0.0853,11.0,0.114,-9.065,0.0,0.115,119.93,4.0,https://api.spotify.com/v1/tracks/3eKdMlPONnxz5quSb2VpKU,audio_features,spotify:track:3eKdMlPONnxz5quSb2VpKU,0.465
14,,0.127,https://api.spotify.com/v1/audio-analysis/05w04BiSjRO522rVscQ34c,0.689,157089.0,0.572,05w04BiSjRO522rVscQ34c,0.0351,5.0,0.11,-8.423,0.0,0.0322,120.002,4.0,https://api.spotify.com/v1/tracks/05w04BiSjRO522rVscQ34c,audio_features,spotify:track:05w04BiSjRO522rVscQ34c,0.21
