,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,,0.000996,https://api.spotify.com/v1/audio-analysis/4JNReZP4npX6YoGG1NZKgH,0.46,201838.0,0.907,4JNReZP4npX6YoGG1NZKgH,0.0793,8.0,0.0867,-2.75,1.0,0.0541,173.96,4.0,https://api.spotify.com/v1/tracks/4JNReZP4npX6YoGG1NZKgH,audio_features,spotify:track:4JNReZP4npX6YoGG1NZKgH,0.44
1,,0.0526,https://api.spotify.com/v1/audio-analysis/4CDcp4Yeg46NiWCIfQ44rQ,0.516,182007.0,0.86,4CDcp4Yeg46NiWCIfQ44rQ,0.0,10.0,0.0858,-3.56,0.0,0.0494,173.874,4.0,https://api.spotify.com/v1/tracks/4CDcp4Yeg46NiWCIfQ44rQ,audio_features,spotify:track:4CDcp4Yeg46NiWCIfQ44rQ,0.35
2,,0.00662,https://api.spotify.com/v1/audio-analysis/6LWjwXoGxkMN9yxOSrguMJ,0.777,263314.0,0.552,6LWjwXoGxkMN9yxOSrguMJ,0.621,11.0,0.187,-4.032,1.0,0.141,87.499,4.0,https://api.spotify.com/v1/tracks/6LWjwXoGxkMN9yxOSrguMJ,audio_features,spotify:track:6LWjwXoGxkMN9yxOSrguMJ,0.17
3,,0.00279,https://api.spotify.com/v1/audio-analysis/4pd8nt4rexiPsqLzo3daFv,0.671,238960.0,0.868,4pd8nt4rexiPsqLzo3daFv,0.273,1.0,0.148,1.221,1.0,0.0874,173.037,4.0,https://api.spotify.com/v1/tracks/4pd8nt4rexiPsqLzo3daFv,audio_features,spotify:track:4pd8nt4rexiPsqLzo3daFv,0.463
4,,0.0207,https://api.spotify.com/v1/audio-analysis/6rW0bP2gEmIayAOFeuL3gy,0.29,195940.0,0.906,6rW0bP2gEmIayAOFeuL3gy,0.0227,11.0,0.128,-1.48,0.0,0.0663,111.93,5.0,https://api.spotify.com/v1/tracks/6rW0bP2gEmIayAOFeuL3gy,audio_features,spotify:track:6rW0bP2gEmIayAOFeuL3gy,0.149
5,,0.000372,https://api.spotify.com/v1/audio-analysis/0Uk1qBrftGCo4YsqsAvQGT,0.56,276897.0,0.971,0Uk1qBrftGCo4YsqsAvQGT,0.555,11.0,0.337,-3.845,0.0,0.19,169.973,4.0,https://api.spotify.com/v1/tracks/0Uk1qBrftGCo4YsqsAvQGT,audio_features,spotify:track:0Uk1qBrftGCo4YsqsAvQGT,0.219
6,,0.00279,https://api.spotify.com/v1/audio-analysis/3TfSTve3LJBC0hO35AX3R1,0.365,270157.0,0.879,3TfSTve3LJBC0hO35AX3R1,0.797,11.0,0.144,-4.925,0.0,0.136,175.014,4.0,https://api.spotify.com/v1/tracks/3TfSTve3LJBC0hO35AX3R1,audio_features,spotify:track:3TfSTve3LJBC0hO35AX3R1,0.184
7,,0.0145,https://api.spotify.com/v1/audio-analysis/22ogGXbpxlfWkaFPSDK944,0.483,280086.0,0.847,22ogGXbpxlfWkaFPSDK944,0.755,1.0,0.108,-5.473,1.0,0.0375,174.032,4.0,https://api.spotify.com/v1/tracks/22ogGXbpxlfWkaFPSDK944,audio_features,spotify:track:22ogGXbpxlfWkaFPSDK944,0.158
8,,0.259,https://api.spotify.com/v1/audio-analysis/1ZTH0T3br4uJ5DHignjmUZ,0.503,148965.0,0.903,1ZTH0T3br4uJ5DHignjmUZ,5.69e-05,6.0,0.372,-2.969,0.0,0.394,174.101,4.0,https://api.spotify.com/v1/tracks/1ZTH0T3br4uJ5DHignjmUZ,audio_features,spotify:track:1ZTH0T3br4uJ5DHignjmUZ,0.28
9,,0.0248,https://api.spotify.com/v1/audio-analysis/4GSITYc5loYqivC8zsTCEb,0.635,271755.0,0.995,4GSITYc5loYqivC8zsTCEb,0.0014,6.0,0.0607,0.121,0.0,0.298,174.948,4.0,https://api.spotify.com/v1/tracks/4GSITYc5loYqivC8zsTCEb,audio_features,spotify:track:4GSITYc5loYqivC8zsTCEb,0.131
