,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,,0.00839,https://api.spotify.com/v1/audio-analysis/2YewpsX8Xv1hAue7lRltS4,0.689,230400.0,0.987,2YewpsX8Xv1hAue7lRltS4,0.75,1.0,0.106,-1.583,1.0,0.305,149.998,4.0,https://api.spotify.com/v1/tracks/2YewpsX8Xv1hAue7lRltS4,audio_features,spotify:track:2YewpsX8Xv1hAue7lRltS4,0.0941
1,,0.246,https://api.spotify.com/v1/audio-analysis/6PMXCAKSAH7GAZkmUwQ5hB,0.624,223500.0,0.638,6PMXCAKSAH7GAZkmUwQ5hB,0.2,7.0,0.0939,-8.075,0.0,0.0482,160.001,4.0,https://api.spotify.com/v1/tracks/6PMXCAKSAH7GAZkmUwQ5hB,audio_features,spotify:track:6PMXCAKSAH7GAZkmUwQ5hB,0.238
2,,0.00827,https://api.spotify.com/v1/audio-analysis/1VlkQymHWTIWXigs0ddfrh,0.575,195200.0,0.944,1VlkQymHWTIWXigs0ddfrh,1.33e-05,2.0,0.363,-1.654,1.0,0.0505,75.056,4.0,https://api.spotify.com/v1/tracks/1VlkQymHWTIWXigs0ddfrh,audio_features,spotify:track:1VlkQymHWTIWXigs0ddfrh,0.226
3,,0.000346,https://api.spotify.com/v1/audio-analysis/2K5exZ28ecrpP3aF2PI1YL,0.635,172800.0,0.89,2K5exZ28ecrpP3aF2PI1YL,0.165,2.0,0.125,-4.808,1.0,0.143,149.644,4.0,https://api.spotify.com/v1/tracks/2K5exZ28ecrpP3aF2PI1YL,audio_features,spotify:track:2K5exZ28ecrpP3aF2PI1YL,0.122
4,,0.043,https://api.spotify.com/v1/audio-analysis/6sGleW87thKd9ktkanYp54,0.561,255000.0,0.934,6sGleW87thKd9ktkanYp54,0.381,4.0,0.21,-3.277,0.0,0.131,150.052,4.0,https://api.spotify.com/v1/tracks/6sGleW87thKd9ktkanYp54,audio_features,spotify:track:6sGleW87thKd9ktkanYp54,0.313
5,,0.155,https://api.spotify.com/v1/audio-analysis/1nO67wic65N413c11zKxM7,0.605,211880.0,0.8,1nO67wic65N413c11zKxM7,0.0562,5.0,0.121,-6.235,0.0,0.0545,128.074,4.0,https://api.spotify.com/v1/tracks/1nO67wic65N413c11zKxM7,audio_features,spotify:track:1nO67wic65N413c11zKxM7,0.836
6,,0.00946,https://api.spotify.com/v1/audio-analysis/7vkkMzgunYNUKyGWaxwokO,0.689,234137.0,0.67,7vkkMzgunYNUKyGWaxwokO,0.942,11.0,0.0998,-8.114,0.0,0.0467,139.998,4.0,https://api.spotify.com/v1/tracks/7vkkMzgunYNUKyGWaxwokO,audio_features,spotify:track:7vkkMzgunYNUKyGWaxwokO,0.59
7,,0.0838,https://api.spotify.com/v1/audio-analysis/4MnmJAIM7LSi66as66nAcI,0.807,192857.0,0.713,4MnmJAIM7LSi66as66nAcI,0.0171,11.0,0.05,-4.34,1.0,0.292,139.699,4.0,https://api.spotify.com/v1/tracks/4MnmJAIM7LSi66as66nAcI,audio_features,spotify:track:4MnmJAIM7LSi66as66nAcI,0.444
8,,0.0711,https://api.spotify.com/v1/audio-analysis/44XO2FikdAEqJq7W1M6drc,0.541,242134.0,0.962,44XO2FikdAEqJq7W1M6drc,0.37,6.0,0.116,-3.181,0.0,0.126,144.957,4.0,https://api.spotify.com/v1/tracks/44XO2FikdAEqJq7W1M6drc,audio_features,spotify:track:44XO2FikdAEqJq7W1M6drc,0.0935
9,,0.00577,https://api.spotify.com/v1/audio-analysis/5jPladmtdte4qrq3O9qmbW,0.567,182400.0,0.973,5jPladmtdte4qrq3O9qmbW,1.14e-05,5.0,0.0661,0.892,0.0,0.332,74.986,4.0,https://api.spotify.com/v1/tracks/5jPladmtdte4qrq3O9qmbW,audio_features,spotify:track:5jPladmtdte4qrq3O9qmbW,0.629
