,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,,0.0176,https://api.spotify.com/v1/audio-analysis/3Ve1CEWf4Rbo80di7iGvbL,0.501,299449.0,0.93,3Ve1CEWf4Rbo80di7iGvbL,0.00331,1.0,0.177,-3.573,1.0,0.0647,150.02,4.0,https://api.spotify.com/v1/tracks/3Ve1CEWf4Rbo80di7iGvbL,audio_features,spotify:track:3Ve1CEWf4Rbo80di7iGvbL,0.245
1,,0.0162,https://api.spotify.com/v1/audio-analysis/5SdosZFiok1BS9LkWexfFQ,0.464,238400.0,0.94,5SdosZFiok1BS9LkWexfFQ,0.0156,5.0,0.0588,-2.983,0.0,0.0681,149.934,4.0,https://api.spotify.com/v1/tracks/5SdosZFiok1BS9LkWexfFQ,audio_features,spotify:track:5SdosZFiok1BS9LkWexfFQ,0.206
2,,0.037,https://api.spotify.com/v1/audio-analysis/1oUttDdaqNCsumA1EGpMTC,0.704,185488.0,0.966,1oUttDdaqNCsumA1EGpMTC,0.415,10.0,0.142,-0.877,0.0,0.168,154.988,4.0,https://api.spotify.com/v1/tracks/1oUttDdaqNCsumA1EGpMTC,audio_features,spotify:track:1oUttDdaqNCsumA1EGpMTC,0.293
3,,0.0072,https://api.spotify.com/v1/audio-analysis/4YDSIL6Q7hzc5CHfusu8zy,0.578,298413.0,0.966,4YDSIL6Q7hzc5CHfusu8zy,0.744,6.0,0.0818,-6.179,0.0,0.0866,149.967,4.0,https://api.spotify.com/v1/tracks/4YDSIL6Q7hzc5CHfusu8zy,audio_features,spotify:track:4YDSIL6Q7hzc5CHfusu8zy,0.0762
4,,0.00839,https://api.spotify.com/v1/audio-analysis/14gvJ0EL8rQHtIONJ4hkXj,0.472,211787.0,0.778,14gvJ0EL8rQHtIONJ4hkXj,6.51e-05,1.0,0.792,-4.077,1.0,0.0322,148.094,4.0,https://api.spotify.com/v1/tracks/14gvJ0EL8rQHtIONJ4hkXj,audio_features,spotify:track:14gvJ0EL8rQHtIONJ4hkXj,0.266
5,,0.339,https://api.spotify.com/v1/audio-analysis/6x9iq24bBvqTRKu0730TP5,0.233,216391.0,0.882,6x9iq24bBvqTRKu0730TP5,0.00852,6.0,0.0466,-2.306,0.0,0.0339,155.02,4.0,https://api.spotify.com/v1/tracks/6x9iq24bBvqTRKu0730TP5,audio_features,spotify:track:6x9iq24bBvqTRKu0730TP5,0.128
6,,0.05,https://api.spotify.com/v1/audio-analysis/50OpMGkVihktr2mf9usPKR,0.466,224215.0,0.767,50OpMGkVihktr2mf9usPKR,0.0,10.0,0.103,-2.815,1.0,0.0297,150.025,4.0,https://api.spotify.com/v1/tracks/50OpMGkVihktr2mf9usPKR,audio_features,spotify:track:50OpMGkVihktr2mf9usPKR,0.318
7,,0.0805,https://api.spotify.com/v1/audio-analysis/1ZXMsrBhYZTaeEX1Nqke54,0.509,236972.0,0.721,1ZXMsrBhYZTaeEX1Nqke54,0.00137,0.0,0.0855,-5.46,1.0,0.0598,150.135,4.0,https://api.spotify.com/v1/tracks/1ZXMsrBhYZTaeEX1Nqke54,audio_features,spotify:track:1ZXMsrBhYZTaeEX1Nqke54,0.146
8,,0.00403,https://api.spotify.com/v1/audio-analysis/0zp7Cpb1T9VubpQx58EGE5,0.531,172800.0,0.946,0zp7Cpb1T9VubpQx58EGE5,0.0697,7.0,0.348,-6.216,1.0,0.0676,149.964,4.0,https://api.spotify.com/v1/tracks/0zp7Cpb1T9VubpQx58EGE5,audio_features,spotify:track:0zp7Cpb1T9VubpQx58EGE5,0.39
9,,0.00261,https://api.spotify.com/v1/audio-analysis/6pJKXbi2LpOu83laXxZVEF,0.67,211200.0,0.999,6pJKXbi2LpOu83laXxZVEF,0.766,6.0,0.128,-3.178,0.0,0.205,149.997,4.0,https://api.spotify.com/v1/tracks/6pJKXbi2LpOu83laXxZVEF,audio_features,spotify:track:6pJKXbi2LpOu83laXxZVEF,0.0525
10,,0.0398,https://api.spotify.com/v1/audio-analysis/65ErWX7YDiybdtFfG6ISwD,0.379,173613.0,0.859,65ErWX7YDiybdtFfG6ISwD,6e-06,9.0,0.23,-4.813,0.0,0.0462,154.983,4.0,https://api.spotify.com/v1/tracks/65ErWX7YDiybdtFfG6ISwD,audio_features,spotify:track:65ErWX7YDiybdtFfG6ISwD,0.407
11,,0.0475,https://api.spotify.com/v1/audio-analysis/6vtEsl9RIoYDvwzva2kb12,0.486,210819.0,0.837,6vtEsl9RIoYDvwzva2kb12,9.09e-05,11.0,0.0845,-4.661,0.0,0.0585,160.046,4.0,https://api.spotify.com/v1/tracks/6vtEsl9RIoYDvwzva2kb12,audio_features,spotify:track:6vtEsl9RIoYDvwzva2kb12,0.153
12,,0.0194,https://api.spotify.com/v1/audio-analysis/1cFtFzPM0OTadL3sNTCddV,0.471,227230.0,0.879,1cFtFzPM0OTadL3sNTCddV,0.00406,0.0,0.833,-4.16,1.0,0.0309,147.994,4.0,https://api.spotify.com/v1/tracks/1cFtFzPM0OTadL3sNTCddV,audio_features,spotify:track:1cFtFzPM0OTadL3sNTCddV,0.249
13,,0.00243,https://api.spotify.com/v1/audio-analysis/5jt57rCmog5lS9ojiKVWdQ,0.486,201437.0,0.912,5jt57rCmog5lS9ojiKVWdQ,0.0125,5.0,0.336,-5.388,1.0,0.0319,149.994,4.0,https://api.spotify.com/v1/tracks/5jt57rCmog5lS9ojiKVWdQ,audio_features,spotify:track:5jt57rCmog5lS9ojiKVWdQ,0.388
14,,0.0019,https://api.spotify.com/v1/audio-analysis/1X2zG7K5QQfLzxDoL2u9aP,0.479,242400.0,0.998,1X2zG7K5QQfLzxDoL2u9aP,0.192,1.0,0.301,-1.378,1.0,0.252,99.98,4.0,https://api.spotify.com/v1/tracks/1X2zG7K5QQfLzxDoL2u9aP,audio_features,spotify:track:1X2zG7K5QQfLzxDoL2u9aP,0.0584
15,,0.00323,https://api.spotify.com/v1/audio-analysis/0KSMIGiigk6LiLsNIF8TVo,0.346,188269.0,0.961,0KSMIGiigk6LiLsNIF8TVo,0.582,11.0,0.331,-4.341,1.0,0.0934,149.875,4.0,https://api.spotify.com/v1/tracks/0KSMIGiigk6LiLsNIF8TVo,audio_features,spotify:track:0KSMIGiigk6LiLsNIF8TVo,0.194
16,,0.011,https://api.spotify.com/v1/audio-analysis/0DieEBcn0UbJ4HYM4wN7ot,0.61,338818.0,0.993,0DieEBcn0UbJ4HYM4wN7ot,0.371,8.0,0.103,-4.553,1.0,0.127,149.999,4.0,https://api.spotify.com/v1/tracks/0DieEBcn0UbJ4HYM4wN7ot,audio_features,spotify:track:0DieEBcn0UbJ4HYM4wN7ot,0.192
17,,0.489,https://api.spotify.com/v1/audio-analysis/32tQKwfqmHu7uN56I30cHC,0.515,181200.0,0.885,32tQKwfqmHu7uN56I30cHC,0.549,6.0,0.361,-4.949,1.0,0.0374,149.971,4.0,https://api.spotify.com/v1/tracks/32tQKwfqmHu7uN56I30cHC,audio_features,spotify:track:32tQKwfqmHu7uN56I30cHC,0.407
